,Unit,,,,,
109,3MOS,0.25000000,,,,
110,4+DAYS,0.01095890,,,,
111,ds,,,,,
112,1WK,,,,,
113,YEAR,,,,,
114,1+MO,,,,,
115,hours,,,,,
116,6+YRS,,,,,
117,-1,,,,,
118,min,,,,,
119,36+WKS,,,,,
120,1YR,,,,,
121,Days,,,,,
122,year,,,,,
123,YRSD,,,,,
124,1D,,,,,
125,YRS??,,,,,
126,1+DAY,,,,,
127,2+mos,,,,,
128,MO+,,,,,
129,20+YRS,,,,,
130,WKS+,,,,,
131,MO?,,,,,
132,MONTHS,,,,,
133,1+MOS,,,,,
134,2months,,,,,
135,30+YRS,,,,,
136,1DAY,,,,,
137,1year,,,,,
138,14days,,,,,
139,5+YRSD,,,,,
140,30min,,,,,
141,1.5MOS,,,,,
142,16+YRS,,,,,
143,5+MOS,,,,,
144,ไม่ทราบ,,,,,
145,?Y,,,,,
146,40+YRS,,,,,
147,4+YRS,,,,,
148,yr,,,,,
149,?,,,,,
150,mo,,,,,
151,3+MOS,,,,,
152,YS,,,,,
153,MOD,,,,,
154,10+MINS,,,,,
155,ก,,,,,
156,autopsy,,,,,
157,8+mos,,,,,
158,MOD?,,,,,
159,HRS?,,,,,
160,-,,,,,
161,วัน,,,,,
162,3+YRS,,,,,
163,onset,,,,,
164,WK+,,,,,
165,1.6+YRS,,,,,
166,????,,,,,
167,DAYS+,,,,,
168,fracture,,,,,
169,HR.,,,,,
170,1MO,,,,,
171,1+YRS,,,,,
172,YR?,,,,,
173,5day,,,,,
174,MOS??,,,,,
175,WEEK,,,,,
176,1.6YRS,,,,,
177,TRS,,,,,
178,MOS,,,,,
179,1day,,,,,
180,6months,,,,,
181,week,,,,,
182,unknown,,,,,
183,???,,,,,
184,5DAYS,,,,,
185,2.4+YRS,,,,,
186,2days,,,,,
187,7+YRS,,,,,
188,YEARS?,,,,,
189,15+YRS,,,,,
190,11+MOS,,,,,
191,MOS+,,,,,
192,7+MOS,,,,,
193,9+YRS,,,,,
194,12years,,,,,
195,YEARS,,,,,
196,wks,,,,,
197,WKS?,,,,,
198,6,,,,,
199,5yrs,,,,,
200,8+MOS,,,,,
201,scene,,,,,
202,??,,,,,
203,2+MOS,,,,,
204,1+,,,,,
205,WKS??,,,,,
206,6+DAYS,,,,,
207,1month,,,,,
208,DAYS?,,,,,
209,1.4+YRS,,,,,
210,2WKS,,,,,
211,WK?,,,,,
212,2+WKS?,,,,,
213,today,,,,,
214,D,,,,,
215,5days,,,,,
216,hrs,,,,,
217,RYS,,,,,
218,mo.,,,,,
219,8+YRS,,,,,
220,mos,,,,,
