ID,Unit,Value,,,,
109,3MOS,0.25000000,,,,
110,4+DAYS,0.01095890,,,,
111,ds,NA,,,,
112,1WK,0.01917808,,,,
113,YEAR,1.00000000,,,,
114,1+MO,0.08333333,,,,
115,hours,0.00011416,,,,
116,6+YRS,6.00000000,,,,
117,-1,NA,,,,
118,min,0.00000190,,,,
119,36+WKS,0.69041096,,,,
120,1YR,1.00000000,,,,
121,Days,0.00273973,,,,
122,year,1.00000000,,,,
123,YRSD,1.00000000,,,,
124,1D,0.00273973,,,,
125,YRS??,1.00000000,,,,
126,1+DAY,0.00273973,,,,
127,2+mos,0.16666667,,,,
128,MO+,0.08333333,,,,
129,20+YRS,20.00000000,,,,
130,WKS+,0.01917808,,,,
131,MO?,0.08333333,,,,
132,MONTHS,0.08333333,,,,
133,1+MOS,0.08333333,,,,
134,2months,0.16666667,,,,
135,30+YRS,30.00000000,,,,
136,1DAY,0.00273973,,,,
137,1year,1.00000000,,,,
138,14days,0.03835616,,,,
139,5+YRSD,5.00000000,,,,
140,30min,0.00005708,,,,
141,1.5MOS,0.12500000,,,,
142,16+YRS,16.00000000,,,,
143,5+MOS,0.41666667,,,,
144,ไม่ทราบ,NA,,,,
145,?Y,1.00000000,,,,
146,40+YRS,40.00000000,,,,
147,4+YRS,4.00000000,,,,
148,yr,1.00000000,,,,
149,?,NA,,,,
150,mo,0.08333333,,,,
151,3+MOS,0.25000000,,,,
152,YS,1.00000000,,,,
153,MOD,0.08333333,,,,
154,10+MINS,0.83333333,,,,
155,ก,NA,,,,
156,autopsy,NA,,,,
157,8+mos,0.66666667,,,,
158,MOD?,0.08333333,,,,
159,HRS?,0.00011416,,,,
160,-,NA,,,,
161,วัน,NA,,,,
162,3+YRS,3.00000000,,,,
163,onset,0.00000190,,,,
164,WK+,0.01917808,,,,
165,1.6+YRS,1.60000000,,,,
166,????,NA,,,,
167,DAYS+,0.00273973,,,,
168,fracture,NA,,,,
169,HR.,0.00011416,,,,
170,1MO,0.08333333,,,,
171,1+YRS,1.00000000,,,,
172,YR?,1.00000000,,,,
173,5day,0.01369863,,,,
174,MOS??,0.08333333,,,,
175,WEEK,0.01917808,,,,
176,1.6YRS,1.60000000,,,,
177,TRS,1.00000000,,,,
178,MOS,0.08333333,,,,
179,1day,0.00273973,,,,
180,6months,0.50000000,,,,
181,week,0.01917808,,,,
182,unknown,NA,,,,
183,???,NA,,,,
184,5DAYS,0.01369863,,,,
185,2.4+YRS,2.40000000,,,,
186,2days,0.00547945,,,,
187,7+YRS,7.00000000,,,,
188,YEARS?,1.00000000,,,,
189,15+YRS,15.00000000,,,,
190,11+MOS,0.91666667,,,,
191,MOS+,0.08333333,,,,
192,7+MOS,0.08333333,,,,
193,9+YRS,9.00000000,,,,
194,12years,12.00000000,,,,
195,YEARS,1.00000000,,,,
196,wks,0.01917808,,,,
197,WKS?,0.01917808,,,,
198,6,6.00000000,,,,
199,5yrs,5.00000000,,,,
200,8+MOS,0.66666667,,,,
201,scene,NA,,,,
202,??,NA,,,,
203,2+MOS,0.16666667,,,,
204,1+,1.00000000,,,,
205,WKS??,0.01917808,,,,
206,6+DAYS,0.01643836,,,,
207,1month,0.08333333,,,,
208,DAYS?,0.00273973,,,,
209,1.4+YRS,1.40000000,,,,
210,2WKS,0.03835616,,,,
211,WK?,0.01917808,,,,
212,2+WKS?,0.03835616,,,,
213,today,0.00273973,,,,
214,D,0.00273973,,,,
215,5days,0.01369863,,,,
216,hrs,0.00011416,,,,
217,RYS,1.00000000,,,,
218,mo.,0.08333333,,,,
219,8+YRS,8.00000000,,,,
220,mos,0.08333333,,,,
